UUID,VIN,Make,Model,Mileage,Year,Price,Zip Code,Create Date,Update Date
4e1ee301-a396-4e3a-88bc-06ab40000001,VINVIN1,BMW,"250 Isetta, 300 Isetta",338095,2013,116372,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000002,VINVIN2,BMW,600,548027,1990,80786,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000003,VINVIN3,BMW,700,584522,2014,80959,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000004,VINVIN4,BMW,i3,154614,1991,14878,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000005,VINVIN5,BMW,1-Series,163971,2000,35949,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000006,VINVIN6,BMW,1-Series,52038,2000,102966,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000007,VINVIN7,BMW,1-Series,518659,2004,38505,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000008,VINVIN8,BMW,2-Series,605677,1991,95145,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000009,VINVIN9,BMW,2-Series Gran Coupé,963930,2013,30061,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000010,VINVIN10,BMW,1-Series,771777,2016,118993,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000011,VINVIN11,BMW,"New Class 1602, 1802, 2002",957098,2003,84480,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000012,VINVIN12,BMW,3-Series,683799,2007,69046,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000013,VINVIN13,BMW,"3-Series, M3",195908,2009,34953,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000014,VINVIN14,BMW,"3-Series, M3",179885,2013,110347,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000015,VINVIN15,BMW,"3-Series, M3",952535,1997,37726,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000016,VINVIN16,BMW,"3-Series, M3",480263,2013,12207,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000017,VINVIN17,BMW,"3-Series, M3",829322,2019,20579,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000018,VINVIN18,BMW,"4-Series, M4",175541,2018,63852,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000019,VINVIN19,BMW,"3-Series, M3",559189,2003,14292,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000020,VINVIN20,BMW,"4-Series, M4",918924,2019,41579,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000021,VINVIN21,BMW,3-Series GT,825528,2002,28264,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000022,VINVIN22,BMW,"New Class 1500, 1600, 1800, 2000",915907,1992,47474,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000023,VINVIN23,BMW,5-Series,24268,2016,93895,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000024,VINVIN24,BMW,"5-Series, M5",709362,2003,48638,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000025,VINVIN25,BMW,"5-Series, M5",787015,2007,51887,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000026,VINVIN26,BMW,"5-Series, M5",398260,2018,40343,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000027,VINVIN27,BMW,"5-Series, M5",203241,2005,54889,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000028,VINVIN28,BMW,"5-Series, M5",383758,1997,52190,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000029,VINVIN29,BMW,"5-Series, M5",467763,1991,78672,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000030,VINVIN30,BMW,5-Series GT,882976,2015,57151,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000031,VINVIN31,BMW,6-Series GT,5162,1995,46841,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000032,VINVIN32,BMW,New Six CS,711287,1992,24656,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000033,VINVIN33,BMW,"6-Series, M6",525750,1995,82910,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000034,VINVIN34,BMW,8-Series,428199,2001,51556,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000035,VINVIN35,BMW,"6-Series, M6",409648,1992,108740,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000036,VINVIN36,BMW,"6-Series, M6",636359,1997,28633,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000037,VINVIN37,BMW,8-Series,930764,2007,30173,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000038,VINVIN38,BMW,501,581476,1990,108435,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000039,VINVIN39,BMW,502,176195,2019,74205,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000040,VINVIN40,BMW,503,833341,2010,101827,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000041,VINVIN41,BMW,3200 CS,816681,2012,80870,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000042,VINVIN42,BMW,New Six,641756,2019,55824,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000043,VINVIN43,BMW,7-Series,789400,1997,18039,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000044,VINVIN44,BMW,7-Series,10398,1990,67921,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000045,VINVIN45,BMW,7-Series,287095,1992,30309,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000046,VINVIN46,BMW,7-Series,867104,1999,54231,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
4e1ee301-a396-4e3a-88bc-06ab40000047,VINVIN47,BMW,7-Series,450210,2018,50878,91722,2021-01-29T15:16:25Z,2021-01-29T15:16:25Z
